symbol,weight,value,units
atgl,0.2035190568,2035190.5684578207,1379
adanitrans,0.1490534968,1490534.967930607,795
polycab,0.0549376464,549376.4640562055,240
vedl,0.0462725746,462725.7456417358,1467
deepakntr,0.0444367465,444367.464974004,183
dixon,0.0433231652,433231.6523614216,84
astral,0.0414940481,414940.4810445441,192
tatachem,0.0368601549,368601.5485185595,369
tatasteel,0.0346988566,346988.565846018,261
dmart,0.0288511595,288511.5954937603,60
indianb,0.0278972862,278972.8624057254,1472
vbl,0.0271326794,271326.7944262134,332
apollohosp,0.0242801752,242801.7515855799,56
endurance,0.0241422609,241422.6088496101,132
bel,0.0234579659,234579.6593679173,1132
grasim,0.0231059826,231059.8256656351,133
hindpetro,0.022680298,226802.9796001096,679
coforge,0.0205443348,205443.3475355978,40
ongc,0.0204456367,204456.3672006291,1294
aartiind,0.0192930655,192930.6545656452,190
cholafin,0.0184274139,184274.139212295,295
ubl,0.0165549772,165549.7720611752,97
mcdowell-n,0.0165193259,165193.2589444264,187
marico,0.0163993305,163993.3046002893,284
hal,0.015672362,156723.6196544756,118
