symbol,weight,value,units
deepakntr,0.0688254565,688254.5654819839,337
dixon,0.0679450238,679450.2379373045,157
emamiltd,0.064304685,643046.8495944507,1150
gujgasltd,0.0626848812,626848.8124348912,876
vedl,0.0608119518,608119.5183937511,2014
apollohosp,0.0607664606,607664.6060083322,150
dalbharat,0.0549752393,549752.3933502914,257
polycab,0.0501281685,501281.6852077466,270
grasim,0.0464755397,464755.3971492964,299
tatachem,0.0428125664,428125.6637217659,560
crompton,0.0365713057,365713.0568447498,750
fortis,0.0351113677,351113.6772168044,1400
endurance,0.0348774745,348774.7453596862,201
jublfood,0.0336855434,336855.433652318,89
cumminsind,0.032070933,320709.3296839657,376
hindalco,0.0312620958,312620.9580021145,702
lti,0.0300211145,300211.1452757418,64
mfsl,0.0256542934,256542.9343643024,228
dhani,0.0238911827,238911.8272148238,1038
ashokley,0.0235418077,235418.0771373152,1772
tatapower,0.0233998492,233998.4923670175,1871
vbl,0.0230947744,230947.7441773446,303
ajantpharm,0.0228556176,228556.1760376013,99
havells,0.0221789708,221789.7084477114,188
techm,0.0220536965,220536.9649386897,182
