symbol,weight,value,units
mphasis,0.0818591918,818591.9181192723,458
lti,0.0781231704,781231.7041156391,199
emamiltd,0.0747990899,747990.8990768036,1537
wipro,0.0682050393,682050.3926861526,1399
coforge,0.0641210771,641210.7712560488,220
apollohosp,0.0565829416,565829.4164322298,176
lalpathlab,0.0538313912,538313.9118670458,183
navinfluor,0.0494467094,494467.0943652787,141
tatapower,0.0468474547,468474.5469249846,4691
hindzinc,0.0411844315,411844.3152766104,1383
tataconsum,0.0372584332,372584.3323365086,550
infy,0.0371416985,371416.9845370728,274
mothersumi,0.0294965435,294965.4348998633,1367
godrejind,0.0293159244,293159.2442130598,579
cipla,0.0272736605,272736.6054774395,299
naukri,0.0260331523,260331.5227887155,53
natcopharm,0.0251472532,251472.5316959034,272
aartiind,0.0247465417,247465.4172193846,150
bharatforg,0.023249218,232492.1801138212,377
cadilahc,0.0231065791,231065.7905340992,397
hal,0.0222630104,222630.1037249885,233
balkrisind,0.0209970428,209970.428149643,117
jublfood,0.0200276225,200276.2251229284,69
srf,0.0197707175,197707.1748871536,30
abcapital,0.0191721054,191721.0541793561,1669
