symbol,weight,value,units
tataelxsi,0.1228058981,1228058.9814074822,216
adanient,0.094679134,946791.3399612969,568
vedl,0.0718287503,718287.5027700153,2071
polycab,0.0511074648,511074.6483310224,230
dixon,0.0508508415,508508.4152842535,101
oil,0.0503013182,503013.1822774574,2474
mphasis,0.0482985327,482985.3272911657,161
lalpathlab,0.0438791269,438791.2691085141,112
fortis,0.0434908818,434908.8175665184,1508
coforge,0.0434109475,434109.4748819349,82
bajajhldng,0.0340212171,340212.1711938263,68
srf,0.0306352531,306352.5305954555,148
dmart,0.0301541544,301541.5437283921,64
ongc,0.0299644974,299644.9740234275,2079
bel,0.0292541233,292541.2333352571,1483
vbl,0.0270227723,270227.7234202711,309
bajajfinsv,0.0262534791,262534.7905672784,15
grasim,0.0260014041,260014.0407837481,154
pghh,0.0231014672,231014.6720181968,15
oberoirlty,0.0222951032,222951.0316036018,269
torntpower,0.0219005467,219005.4666170741,410
hal,0.0209254035,209254.0354583216,161
isec,0.0199098358,199098.3577603854,268
titan,0.0190756426,190756.4257190744,82
canbk,0.0188322044,188322.0442960302,945
