symbol,weight,value,units
adanigreen,0.2104247801,2104247.8006071653,1659
emamiltd,0.0938553792,938553.7921408318,1872
cholafin,0.0670907853,670907.8532460788,1221
endurance,0.0541769575,541769.5749708893,362
lalpathlab,0.0504568023,504568.0226166606,170
jindalstel,0.043970878,439708.7797272672,1079
natcopharm,0.0431559377,431559.3774918113,410
tatamotors,0.0394010251,394010.2510864015,1236
hindzinc,0.0369974745,369974.7452978342,1131
crompton,0.0303817117,303817.1173287708,762
mfsl,0.0288526638,288526.6384115526,309
tatapower,0.0262220607,262220.6068678626,2463
vbl,0.0251987598,251987.597514611,249
vguard,0.0245307867,245307.8668494484,879
cadilahc,0.02415162,241516.2001230399,390
srtransfin,0.0236238667,236238.6669176422,165
pghh,0.0229734664,229734.6644505407,17
voltas,0.0215565941,215565.9413453776,214
asianpaint,0.0214868153,214868.1533248211,72
idfcfirstb,0.0214023093,214023.0926579875,3658
hal,0.0212130225,212130.2251481528,207
balkrisind,0.0179747366,179747.3660650843,81
tataconsum,0.0175518858,175518.8577997735,264
bajajfinsv,0.0172296509,172296.5086512487,14
oil,0.0161200299,161200.2993591455,1216
