symbol,weight,value,units
adanitrans,0.1435740922,1435740.9218487472,926
vbl,0.1098045478,1098045.4777894306,1211
adanient,0.0891571045,891571.0447092343,599
tatachem,0.055477534,554775.3399330226,612
astral,0.0441842737,441842.7366586734,209
deepakntr,0.0410004909,410004.909165457,170
tatasteel,0.039714867,397148.6700097051,310
dalbharat,0.0383238291,383238.2909108071,188
lalpathlab,0.0375216162,375216.1615525165,102
fortis,0.0369007848,369007.8475376075,1401
vedl,0.0335111418,335111.4183409383,1152
nationalum,0.0332919932,332919.9316967592,3740
dixon,0.0323553177,323553.1769921602,72
lauruslabs,0.0281186697,281186.696774576,474
bajajhldng,0.027690911,276909.1103924246,57
grasim,0.0273726057,273726.0572968831,166
dmart,0.0244388616,244388.6164383745,56
wipro,0.0225769342,225769.3419421133,352
crompton,0.0219513081,219513.0805607249,466
cumminsind,0.0204264858,204264.8577909283,203
hindalco,0.0194199097,194199.0970024813,406
ajantpharm,0.0189063127,189063.1265726881,86
havells,0.0184092485,184092.4852919492,134
adanigreen,0.0181634792,181634.7919490684,158
emamiltd,0.0177076811,177076.810842728,305
